Title,Cap1,Cap2,Cap3
frame0-00-04.84.jpg,the word glarrid is spelled on top of a white background,the logo for glidria,a black and white picture of a cat on a white background
frame0-00-05.00.jpg,a black and white picture of the word gizri,a picture of the word'glamid ',the word giraffea is displayed on a white background
frame0-00-05.20.jpg,the word gloreria is surrounded by brown letters,the logo for glaziria is shown on white background,a white and black logo for glybirda
frame0-00-05.36.jpg,a large white logo with the words glorria,a logo for a mexican restaurant,the logo for glydia with a bear
frame0-00-05.52.jpg,the logo of glyria is a large brown dog,a logo design that says glodia,ghirida logo design by graphic art for a clothing company
frame0-00-05.68.jpg,the word glorria is a brown and white image,a picture of the word giraffe with the elephant logo,globria and an eagle are both made with a large format
frame0-00-05.84.jpg,a glarria font logo design for an electrical company,glarria logo with a cat on the front,glayrid logo with the words
frame0-00-06.00.jpg,the logo for an appetizing website,an illustration of the word glarrid,the word glyrid with an image of an elephant
frame0-00-06.20.jpg,a glorrid sign with the words glorrid,an animated logo that is very cool and cute,the words gorilla written in two letters
frame0-00-06.36.jpg,the word glivria is written in brown on a white background,a logo with the word gliwria in it,an image of a logo for gleiria
frame0-00-06.52.jpg,a woman with shoulder length and blue shirt stands with her hands folded in front of her chest,a woman standing in front of a white wall,a woman wearing a blue shirt and jeans is standing in front of a gray backdrop
frame0-00-06.68.jpg,a woman standing and wearing a blue shirt and holding hands together in front of her,the woman is making a speech in her hands,a woman wearing an apron and holding her hands in front of her chest
frame0-00-06.84.jpg,a woman giving a presentation while gesturing,a woman making a presentation in front of a microphone,a woman talking into the camera with her hands open
frame0-00-07.00.jpg,the woman is wearing a blue shirt with an interesting zippered top,a woman is talking on a tv set,a woman standing on a stage with her hands up
frame0-00-07.20.jpg,a woman is talking with her hands out,woman talking about an interview on white background,a woman standing up in a blue top
frame0-00-07.36.jpg,a woman standing in front of a white backdrop wearing a blue blouse,a woman standing in a room with a white background,a woman with brown hair is talking to someone
frame0-00-07.52.jpg,a woman stands in a room with white walls,a woman standing and talking while holding a remote in her hands,a woman in a blue shirt standing by a white wall
frame0-00-07.68.jpg,a woman talking and showing something,a woman that is standing up with her hands out,a woman stands in front of a white background
frame0-00-07.84.jpg,a woman in a blue shirt standing on a stage,a woman standing in front of a white wall,a woman that is talking into a video
frame0-00-08.00.jpg,a woman with her hands in her pockets and wearing a blue top,a woman is giving a lecture in front of a white wall,a woman standing in front of a white background
frame0-00-08.20.jpg,woman in blue shirt speaking on stage with white background,a woman that is standing in a room,a woman with glasses standing and holding her hands to the side
frame0-00-08.36.jpg,a woman is shown speaking in an awkward manner,a woman in a blue top making a presentation,woman in blue shirt talking about her business ideas
frame0-00-08.52.jpg,a woman holding her hands in her pockets,a woman wearing blue is holding her hands in the air,woman in blue shirt standing in front of white backdrop
frame0-00-08.68.jpg,a woman with brown hair is standing in front of a white background,a woman in blue shirt holding her hands out,a woman standing on her hands out in front of the camera
frame0-00-08.84.jpg,a woman is speaking on her cell phone,a woman talking to someone about how she feels,a woman with brown hair and blue shirt standing
frame0-00-09.00.jpg,a woman with her hands out to the side,a woman is holding her hands in front of her face,a woman with dark hair is speaking about what makes her fatten
frame0-00-09.20.jpg,a woman is doing something on her hands,the woman is talking with her hands in the air,the woman with the microphone has two hands together
frame0-00-09.36.jpg,woman in blue shirt sitting with her hands open,a woman standing and gesturing to the camera,woman in blue shirt and black leggings holding hands out
frame0-00-09.52.jpg,a woman wearing a blue shirt standing in front of a white wall,a woman sitting down talking to someone,a woman talking into a microphone with her hands open
frame0-00-09.68.jpg,"a woman with her hands open, laughing",the woman is standing in front of the camera,the woman is talking in front of a white background
frame0-00-09.84.jpg,a woman standing up with her hands in the air,a lady talking on a gray background wearing a shirt,a woman is speaking in front of a white background
frame0-00-10.00.jpg,a woman is talking about something with her hands,a woman talking while standing next to a white wall,the woman in blue is talking with her hands out
frame0-00-10.20.jpg,a woman in a blue shirt holding a hand out,woman in blue shirt standing with arms open,a woman wearing blue is speaking while standing
frame0-00-10.36.jpg,woman speaking in front of a white background,a woman holding her hands out while speaking,a woman is making a speech and gesturing
frame0-00-10.52.jpg,a woman talking and wearing a blue shirt,a woman that is sitting down holding hands out,a woman standing and gesturing at something
frame0-00-10.68.jpg,an image of a woman with black hair gesturing,the woman has one hand in front of her body while she is making a presentation,a woman talking with her hands in her pockets
frame0-00-10.84.jpg,woman sitting in a chair with her hand up to her chest and another person standing behind,a woman giving a talk while sitting in front of a white background,a woman in a blue shirt is holding her hand out
frame0-00-11.00.jpg,a person in blue top standing up with two hands,a woman sitting down on top of a white chair talking,a woman wearing blue and speaking into a white screen
frame0-00-11.20.jpg,a woman is sitting down and having some talk,a person standing up with hands wide open,a woman sits in a chair talking and gesturing
frame0-00-11.36.jpg,woman in blue shirt talking with one hand,a woman giving a talk with her hands outstretched,a woman is speaking with her hands out
frame0-00-11.52.jpg,"a woman is sitting on a chair, with her hands outstretched",a lady holding her hands out in front of her,a woman talks about her work in business
frame0-00-11.68.jpg,a woman in a blue shirt is holding out her hand,a woman standing in front of a white wall and holding her hands out,a woman wearing a blue shirt and black heels
frame0-00-11.84.jpg,a woman standing in front of a white background talking on her cell phone,a woman standing in front of a white wall talking,woman is speaking in a white screen with her hands out
frame0-00-12.00.jpg,woman wearing a blue shirt gesturing at something,a woman is speaking in a blue shirt,woman wearing a blue shirt sitting on top of a stool
frame0-00-12.20.jpg,a woman holding a glass with both hands,a woman is on a white screen with her hand out,woman talking about a movie about it
frame0-00-12.36.jpg,a person is talking about something while standing,a person standing in front of a white wall with her hands wide open,a woman is making a face while giving a speech
frame0-00-12.52.jpg,a woman in a blue shirt talking on the white background,a woman giving a talk with an open hand,a woman that is standing in the grass
frame0-00-12.68.jpg,a woman is talking while wearing glasses,a woman in a blue shirt is standing with her hands out,a woman is standing in front of a white background talking
frame0-00-12.84.jpg,a woman with a blue shirt is standing in front of a white background,a person standing up giving a presentation,woman with blue shirt and pants talking on white background
frame0-00-13.00.jpg,woman speaking and looking concerned at something,a woman is wearing blue as she speaks on a white surface,woman wearing blue blouse with buttons in front of white backdrop
frame0-00-13.20.jpg,a woman talking to someone using an object while wearing a blue shirt,a woman is speaking and having a presentation,the woman is talking to an audience wearing blue
frame0-00-13.36.jpg,a woman talking about something with a surprised look,a woman is giving a presentation on how to write a sentence,a woman in blue is talking to someone
frame0-00-13.52.jpg,a person is speaking with an object in the background,a woman with glasses standing in front of a white wall,a woman standing in front of a white backdrop talking
frame0-00-13.68.jpg,woman holding her hands up on a gray surface,a woman is wearing a shirt and a pair of blue jeans,woman sitting down wearing a blue shirt and holding her hands in one hand
frame0-00-13.84.jpg,woman with mouth open giving an advice to someone,a woman holding her hands out and talking on a white surface,a woman wearing a blue shirt talking on a white screen
frame0-00-14.00.jpg,a woman in blue shirt talking to someone,a woman giving a presentation in front of an audience,a woman in blue shirt and leggings and holding her hand out
frame0-00-14.20.jpg,a woman is talking to someone in a white room,a woman is standing in front of a gray wall,a woman in a light blue top is giving a speech
frame0-00-14.36.jpg,a female in blue is standing up,a woman wearing a blue top standing up in front of a white background,a woman wearing jeans and a blue shirt
frame0-00-14.52.jpg,a person holding a cell phone talking,an image of a woman giving a speech,a woman standing up with her arms open in front of her
frame0-00-14.68.jpg,woman with black hair is giving a presentation,a woman in blue top standing and holding her hands out,woman in blue dress sitting down with hands out
frame0-00-14.84.jpg,a lady that is talking on a white screen,a woman with her hands up standing in front of a white background,the woman is talking to someone about her presentation
frame0-00-15.00.jpg,a woman is shown talking to someone,a woman holding her hands out and making a hand gesture,a woman standing in front of a white background
frame0-00-15.20.jpg,the woman with her hands up speaks to someone,a woman wearing a blue top and smiling at the camera,the woman in blue shirt is wearing glasses
frame0-00-15.36.jpg,the woman is holding her hands in both directions,a woman with her hands together in front of her,a woman wearing a blue blouse is talking
frame0-00-15.52.jpg,a woman is sitting down and making a gesture,a woman talking while holding her hands in both pockets,a woman with her hands crossed out talking
frame0-00-15.68.jpg,a woman speaking into a microphone in front of her,a woman is speaking into her hands while holding his hands out,woman with hands open standing in front of a wall
frame0-00-15.84.jpg,a woman standing in a white room talking to someone,a woman with blue shirt and grey jacket talking on a white background,a woman is standing on stage and talking to someone
frame0-00-16.00.jpg,a woman with her hands out while talking to someone,the woman in blue is standing up with her hands open,"a woman with her hands open, in front of a white background"
frame0-00-16.20.jpg,the woman is in the blue shirt and blue pants,the woman is talking about her potential role,a woman wearing a blue blouse stands up
frame0-00-16.36.jpg,a woman in blue shirt standing next to a camera,woman holding out hands with both hands,"woman with short sleeves, and buttons on her chest, speaks"
frame0-00-16.52.jpg,a woman standing in front of a white wall wearing a shirt,a woman in a blue blouse giving a talk,a woman is talking on a stage wearing black heels
frame0-00-16.68.jpg,a lady is speaking about what happens people make,a woman that is standing up on a white background,the woman has her hands open and she is in front of her
frame0-00-16.84.jpg,a woman in a blue shirt speaking about the future,a woman with her hands open in a room,a woman in blue blouse talking on white background
frame0-00-17.00.jpg,a woman giving a presentation on stage while wearing a blue shirt,a woman holds her hands out while talking,a woman in a blue blouse holding out her hands
frame0-00-17.20.jpg,a woman is making a presentation on white background,"a woman wearing a blue shirt and blue pants stands in front of a white backdrop, while she is speaking with hands folded out and",a woman holding something in her hands
frame0-00-17.36.jpg,the woman is presenting something in front of her,woman making a hand gestures while wearing a blue jacket,a woman in a blue blouse is talking on her cell phone
frame0-00-17.52.jpg,a woman that is standing in front of a screen,a lady is talking in the middle of her talk,a person that is sitting down talking on the phone
frame0-00-17.68.jpg,a woman is standing in front of a projection screen,a woman wearing a blue shirt is talking,a woman standing on a stage with her hands out
frame0-00-17.84.jpg,a woman standing in front of a white backdrop with her hands folded open,a woman speaking about something with her hands,a woman sitting in a chair holding her hands out
frame0-00-18.00.jpg,the woman is talking about how to avoid using the television,a woman giving a speech on a white background,a lady is talking about something with her hands on her hips
frame0-00-18.20.jpg,a woman in a blue top is giving a lecture,a woman is holding out her hands to speak,an image of woman speaking on stage
frame0-00-18.36.jpg,a man sitting on a couch next to his puppy,a dog is standing on its hind legs as someone squatts in front of it,a man in grey shirt sitting on top of couch
frame0-00-18.52.jpg,a man is sitting on a couch playing with his dog,a person sitting on a couch and a dog standing next to them,a dog sitting on the floor in front of a couch
frame0-00-18.68.jpg,a person is watching a dog in a living room,a man sitting on a couch with a dog in his lap,a dog in a living room and a man on the couch
frame0-00-18.84.jpg,man standing in front of a couch petting a large dog,a dog sitting on top of a hard wood floor next to a person,the man sits on the couch and watches as the dog walks by
frame0-00-19.00.jpg,a man playing with a dog in front of the couch,a man is holding his dog near him and a couch,the dog has his nose off the pillow as the man stands beside him
frame0-00-19.20.jpg,a man sitting on a couch next to a dog,a dog and its trainer playing on the hardwood floor,a person on the floor with their dog by their couch
frame0-00-19.36.jpg,the man sits on the couch with his dog,the man sits on the couch with his dog,a man sits on a couch and pets his dog
frame0-00-19.52.jpg,the man is watching a dog on the couch,a man sitting on top of a couch next to a gray dog,a man and his dog sit on a couch looking at each other
frame0-00-19.68.jpg,man sitting on a couch petting a cat that is walking around,a man is playing with his dog in the living room,a man leaning up against the back of a couch with his feet in the air
frame0-00-19.84.jpg,the dog is barking while sitting on the couch,the man is playing with his dog on the couch,a man sitting on a couch with his dog
frame0-00-20.00.jpg,a man sits on a couch with his dog,a man on a couch with a dog,a man sitting on top of a couch with his dog
frame0-00-20.20.jpg,a person sitting on a couch with their dog,a man sits on the couch as a dog reaches up to touch him,man and dog on the couch watching one another
frame0-00-20.36.jpg,the large dog is trying to get his owner out,a man sitting on a couch with a dog near by,there is a dog and man on the couch
frame0-00-20.52.jpg,a man is sitting on a couch with his dog,the man sits on a couch with his dog on his lap,a man sitting on top of a couch next to a dog
frame0-00-20.68.jpg,the man is sitting on the couch with his dog,a man sitting on a couch next to a black and white dog,the man is sitting with his dog on the couch
frame0-00-20.84.jpg,a man and dog sitting on a couch,a man sitting on top of a couch next to a dog,a man sitting on the couch petting a dog
frame0-00-21.00.jpg,a man sitting on the couch with two dogs,a man sitting on a couch with a dog,a man and a dog are sitting on the couch
frame0-00-21.20.jpg,a man is sitting on the couch with a dog,a man sitting on a couch with two dogs,the man sits on the couch while talking with his dog
frame0-00-21.36.jpg,there is a man sitting on a couch with two dogs on it,a man sitting on a couch playing with dogs,a man sitting on the sofa with a large dog
frame0-00-21.52.jpg,the man is sitting on the couch with his dog,a man sitting on top of a couch next to a gray dog,a man sits on a couch while a dog chews on his leg
frame0-00-21.68.jpg,man and his dog sitting on the couch at home,the man and the dog are sitting on the couch,a man sits on a couch with his dog
frame0-00-21.84.jpg,a man sitting on a couch with his dog,a man sitting on a couch next to his dog,a man sitting on a couch with his dog and watching
frame0-00-22.00.jpg,man sitting on a couch playing with a dog,a man sitting on a couch with a dog next to him,a man is sitting on the couch next to his dog
frame0-00-22.20.jpg,man sitting on couch with dog looking at his phone,a man sitting on a couch holding a dog,a man sitting on a couch next to his dog
frame0-00-22.36.jpg,a man sitting on top of a white couch next to a large black dog,a man sitting on a couch with a dog,a man sitting on the couch next to his dog
frame0-00-22.52.jpg,man sitting on a couch with dog on his back,a man with a large dog is sitting on the couch,a man sitting on top of a white couch with his dog
frame0-00-22.68.jpg,a man sitting on a couch petting a dog,man sitting on a couch cuddles his dog with both legs,a man that is sitting on a couch with his dog
frame0-00-22.84.jpg,man sitting on couch with a dog on his lap,a person sitting on a couch with a dog,a man is on a couch with his dog
frame0-00-23.00.jpg,a woman sits on the couch with her dog,a man and his dog are sitting on a couch,a man on a couch with a dog in his lap
frame0-00-23.20.jpg,a lady on a couch with a dog and flowers,a woman and a dog are sitting on the couch,a woman sitting on a couch with her poodle dog
frame0-00-23.36.jpg,a man sitting on a couch with his dog,a person sitting on a couch and petting a dog,a man sitting on a couch playing with his dog
frame0-00-23.52.jpg,this is a man and his dog sitting on a couch,the man is sitting on the couch holding his phone,the man is sitting on the couch with his dog and looking at the phone
frame0-00-23.68.jpg,a man sitting on a couch with a gray and white dog,a man holding a dog on top of a couch,a man sitting on a couch holding a grey and white dog
frame0-00-23.84.jpg,a man sitting on a couch petting his dog,the man is on his couch with a dog,man sitting on a couch with a small white dog
frame0-00-24.00.jpg,a man sitting on a couch holding a gray and white dog,a man is sitting on a sofa with his dog,a person is sitting on the couch with two dogs
frame0-00-24.20.jpg,a man that is sitting on a couch with a dog,the man is sitting on the couch with his dog,a man sitting on top of a couch holding a dog
frame0-00-24.36.jpg,man sitting on a couch with dog next to him,a man holding a dog while sitting on a couch,a man sits on the couch and pets a dog
frame0-00-24.52.jpg,man on a couch holding a white dog and his companion,a man holding a small dog sitting on a couch,the man is petting his dog on the couch
frame0-00-24.68.jpg,the man is sitting on the couch with his dogs,man sitting on a couch with two dogs,a man sits on a couch with two dogs
frame0-00-24.84.jpg,a man sitting on a couch with a white dog and a dog lying next to him,a man sitting on a couch cuddling with a dog,a man sitting on a couch with his two dogs
frame0-00-25.00.jpg,a man sitting on a couch with two dogs,a man sitting on a couch with two dogs,the man is sitting on the couch petting his dog
frame0-00-25.20.jpg,the man and his dog are resting on the couch,a man sitting on a couch with a dog on his lap,a man holding his small dog on the couch
frame0-00-25.36.jpg,a man that is sitting on a couch holding a dog,man holding his dog on the couch with two dogs,a man sits on the couch with his dog
frame0-00-25.52.jpg,a man petting a dog on top of a couch,a man sits on a couch while holding his dog,the man is petting his dog on the couch
frame0-00-25.68.jpg,a dog and its owner sitting on the couch,a man sitting on a couch with his dog,a man sits with his small dog on a couch
frame0-00-25.84.jpg,a man sitting on the couch holding a dog,a man sitting on the couch petting his dog,a man on a couch petting a dog
frame0-00-26.00.jpg,a man is sitting on the couch with a dog,a man on a couch holding a dog,man is sitting on the couch with two dogs
frame0-00-26.20.jpg,a man sitting on a couch with two dogs,a man is holding a dog while sitting on a couch,a man sits on a couch with his small dog
frame0-00-26.36.jpg,the man is holding a dog on a couch,the man sits on the couch with his dog,the man is sitting with his dog on the couch
frame0-00-26.52.jpg,man sitting on the couch with his grey and white dog,a man sitting on a couch holding his dog,a man sitting on top of a couch with his dog
frame0-00-26.68.jpg,a man on a couch sitting with his dog,the man is petting his dog while sitting on the couch,a man sits on a couch with his dog
frame0-00-26.84.jpg,man sitting on couch with two dogs together,a man sitting on a couch petting a small white and gray dog,a man is on a couch petting a grey and white dog
frame0-00-27.00.jpg,a man is sitting on a couch holding a small dog,a man sitting on a couch next to a dog,a person sitting on a couch with a dog
frame0-00-27.20.jpg,a man sitting on a couch holding a dog,a man sitting on a couch with his dog,the man is sitting with his dog on the couch
frame0-00-27.36.jpg,man petting dog sitting on couch with grey and white furry animal,a man is petting his white and gray dog,the man is sitting on the couch next to his dog
frame0-00-27.52.jpg,this person is petting the dog's fur on the couch,a hand is being petted by a person on a sofa,a person holding a small dog on their lap
frame0-00-27.68.jpg,there is a dog sitting on the couch and being brushed,this lady is using her cat to groom her fur,the person is grooming the dog with his hand
frame0-00-27.84.jpg,"this is a closeup of a dog on a couch, playing with someone",a woman playing with a dog on a couch,a close up of a person petting a dog
frame0-00-28.00.jpg,a person touching the arm of a grey dog,two large dogs laying on the arm of a couch,a woman and man cleaning the legs of a large gray dog
frame0-00-28.20.jpg,a woman petting a cat on the back of a couch,a cat laying on a person's leg with their owner hands,this is a close up of someone petting a dog
frame0-00-28.36.jpg,a woman holding a dog that is sitting down,a person and a dog sit on a couch,an animal is being groomed by two people
frame0-00-28.52.jpg,a person is using an animal to groom it's fur,a woman hands with thread near a dog,a dog getting petted by its owner sitting on a couch
frame0-00-28.68.jpg,an adult is sitting on a chair with a pet dog,a woman is shearing a sheepdog's fur,"two dogs, one grey and white, are being groomed by someone"
frame0-00-28.84.jpg,person is sitting on a couch next to a dog,the woman is trying to brush off the fur on the dog,a cat being groomed by a person who is sitting down
frame0-00-29.00.jpg,a dog and some people hands on top of a couch,a person petting the pet on the arm of a couch,there is a woman that is petting a gray and white dog
frame0-00-29.20.jpg,a dog is laying down with his owner hands,the woman is combing her black dog's fur,a person with two dogs on a couch
frame0-00-29.36.jpg,woman is petting a gray dog sitting on a couch,a person trimming fur on top of a dog,an image of a woman cutting wool for a dog
frame0-00-29.52.jpg,the large gray and white dog is holding the smaller dog,an older dog sitting on a cushion and being held by a woman,the person is cutting through the dog's tail
frame0-00-29.68.jpg,a person holding their dog on the back of a couch,someone petting a large dog sitting on a chair,the person holds a dog on her lap
frame0-00-29.84.jpg,a person holding a grey and white dog,a dog laying on a couch getting hair combed,a dog is sitting in the arm of a person
frame0-00-30.00.jpg,a woman is holding on to a dog's nails,a hand holding something in it over a dog on a couch,a person holding onto the arm of a chair with a black dog
frame0-00-30.20.jpg,a person holding their paws on the back of a couch,there is a person holding the dog on a sofa,a person sitting on a couch petting a dog
frame0-00-30.36.jpg,there is a person that has their dog on the couch,there is a man sitting on a chair petting a cat,a person petting a dog on the sofa
frame0-00-30.52.jpg,a dog sits in a grey chair on his owners lap,a person sitting on the couch petting a small dog,there is a person holding a dog on the couch
frame0-00-30.68.jpg,someone is holding something in their left hand with an owl nearby,the person is holding a grey and white cat,an old lady is cleaning the cat with her brush
frame0-00-30.84.jpg,two hands hold the small dog up to its tail,someone holding a dog that is on a couch,a man's left hand on a gray dog that is sitting on a couch
frame0-00-31.00.jpg,a person is on the couch with a dog,a person that is petting a dog sitting on a couch,a person sitting down with a dog who has its paw on a chair
frame0-00-31.20.jpg,a woman holds her pet sitting on her lap,a dog is laying down on a couch and being fed by someone with something,two hands hold something while sitting on a couch
frame0-00-31.36.jpg,a woman that is sitting down with a dog,the two dogs are laying on the couch,the woman is sewing and sitting on the couch
frame0-00-31.52.jpg,a person that is petting a cat on the couch,there is a dog on the couch and someone is petting it,two different hands and dog sitting on the couch
frame0-00-31.68.jpg,a person rubbing a dog's nails with a lot of white stuff on it,a person is putting on a piece of cloth with a cat on top of them,the person is grooming a large fluffy dog
frame0-00-31.84.jpg,a person and two dogs on a couch with a cloth,a person on a couch trimming a pair of pet dogs,a close up of a person cutting something off of a stuffed animal
frame0-00-32.00.jpg,a man grooming his dog with a blow dryer on top of it,a man with a dog and a white puppy,a man is petting his dog while on the couch
frame0-00-32.20.jpg,a man that has a small dog in his lap,the man is petting his dog with a leash,a dog sits with a mans face in the background
frame0-00-32.36.jpg,the man is smiling while cuddled with the dog,a man holding a white and grey dog on his lap,the man is cuddling his white dog
frame0-00-32.52.jpg,a man petting his dog on the head and nose,a man is grooming a dog with a large brush,a man hugging a dog while looking at it's owner
frame0-00-32.68.jpg,man getting a haircut for his dog sitting on the couch,a man with a beard combing a dog's hair,a man holding a dog that is sitting on his lap
frame0-00-32.84.jpg,a man is brushing his dog's fur with a toothbrush,there is a man holding a small white dog,a man petting a small dog on top of a couch
frame0-00-33.00.jpg,a man that is holding a small dog in his hand,a man sitting on the couch holding his dog,man holding a dog while sitting on a couch
frame0-00-33.20.jpg,a man holding a gray and white dog,a man is hugging his dog while sitting on the couch,a man is taking his small dog for a hug
frame0-00-33.36.jpg,a man holding his small dog while he is petting it,"a man is holding a small dog with long, white hair",a man holding a dog while sitting on a couch
frame0-00-33.52.jpg,a man sitting on the couch petting his dog,man in blue shirt holding small dog in his arms,a man is holding a dog while smiling
frame0-00-33.68.jpg,a man and dog cuddle at a living room table,a man pets a small dog while a woman smiles,man holding fluffy dog with tongue out and looking at camera
frame0-00-33.84.jpg,a man pets his dog on the lap,a person sitting on a couch holding a small dog,the man is petting a dog with his hand
frame0-00-34.00.jpg,a bearded man cuddles his dog on the couch,a man hugging a dog sitting on top of a couch,a man holding his dog who is on a couch
frame0-00-34.20.jpg,man on a couch holding a dog in his lap,a dog that is sitting on a man's lap,the man is petting the dog with his hand
frame0-00-34.36.jpg,a dog with its head resting on his owner's lap,the man holds a dog and talks on the phone,a person petting a dog in the middle of a living room
frame0-00-34.52.jpg,a man is petting his dog on the couch,a dog is curled up with his owner,a man that is petting a black and white dog
frame0-00-34.68.jpg,a man pets a sheep with his hand,a person that is petting a dog,a person laying on a couch with a dog
frame0-00-34.84.jpg,a man sitting on a couch brushing his dogs hair,a white dog that is laying down in a person's lap,a man petting his dog on a couch
frame0-00-35.00.jpg,a person holds a dog on the couch,there is a person sitting with a dog on the couch,a man laying down holding a white dog
frame0-00-35.20.jpg,a close up of a person holding a furry teddy bear,a man sitting on a couch while holding a white and gray dog,a person with tattoos holding a fluffy teddy bear
frame0-00-35.36.jpg,a person that is petting a white sheep,a man that is sitting with some fur,a person with tattoos holding onto a large stuffed animal
frame0-00-35.52.jpg,a man holding two small dogs on a couch,the woman is holding a cat laying down,"a woman holding two dogs, one white and gray"
frame0-00-35.68.jpg,a woman sitting on the couch petting a dog,a dog laying on top of another furry animal,person on couch holding a stuffed animal dog
frame0-00-35.84.jpg,a large grey and white dog lays on a person,the person is holding the dog that is laying down,the dog is laying on a couch holding a person's hand
frame0-00-36.00.jpg,this is an image of someone removing the fur off of their pet,a person is sitting down and petting a dog,there is a person petting a black and white dog
frame0-00-36.20.jpg,a person petting a large dog while laying down,the gray and white dog is being petted by a person,the hands of a person laying on top of a white couch
frame0-00-36.36.jpg,a man is petting an adorable dog's fur,a closeup of a person laying on a couch with a dog,a close up of a dog that is laying on a couch
frame0-00-36.52.jpg,a person sitting on top of a couch touching the fur,a person is petting the dog with their paws,there is a person petting a dog on a couch
frame0-00-36.68.jpg,a dog laying down on the couch being pet by its owner,someone putting on some yarn over a dog,the man is petting a dog laying on the couch
frame0-00-36.84.jpg,a person is petting the black and white dog,a man laying down with his hand on a dog,the person is petting a dog that is sitting on a couch
frame0-00-37.00.jpg,a cat sits on the back of a person who is holding something,a large fluffy white dog with eyes laying on someones hand,an image of a cat on the couch
frame0-00-37.20.jpg,two dogs being petted on a couch,the dog is laying down on the cushion of the sofa,the person holding the dog laying down with it's paws on it's face
frame0-00-37.36.jpg,a dog being pet by someone who is holding a fur toy,a fluffy dog with grey fur lays on the couch,a closeup of an animal on a couch that someone is holding
frame0-00-37.52.jpg,a person that is holding onto a fluffy bear,an image of a man holding a dog,an animal is being held in his owner's hands
frame0-00-37.68.jpg,man hugging and petting a large fluffy animal,a person's hands on a gray and white dog,a close up of someone petting a dog in the sofa
frame0-00-37.84.jpg,a person holding their dog on the couch,a person holds a dog lying on a couch,a hand is touching the face of a shaggyly dog
frame0-00-38.00.jpg,a person with their dog is sleeping on a couch,a man holding his pet dog by the tail,a person is petting a large gray dog
frame0-00-38.20.jpg,a guy laying on the floor with a dog,man holding a small dog on the floor in his house,"two men sitting on the floor, one with a dog"
